t,mode,lf_0,lf_1,lf_2,rf_0,rf_1,rf_2,lb_0,lb_1,lb_2,rb_0,rb_1,rb_2,lf_fx,lf_fy,lf_fz,rf_fx,rf_fy,rf_fz,lb_fx,lb_fy,lb_fz,rb_fx,rb_fy,rb_fz
20676.3,1,0.0630285,1.00492,-0.288957,-0.0629466,-0.964077,0.247301,-0.0643531,0.969872,-0.319296,0.0642856,-0.969193,0.317991,0,0,-19.7393,0,0,-19.4625,0,0,-30.5375,0,0,-30.2607
20680.3,1,0.0630364,1.00502,-0.289143,-0.0629494,-0.964121,0.24738,-0.0643805,0.970193,-0.319907,0.0643088,-0.969467,0.318512,0,0,-19.758,0,0,-19.4578,0,0,-30.5422,0,0,-30.242
20684.2,1,0.063044,1.00512,-0.289323,-0.06295,-0.96414,0.247413,-0.0644058,0.97049,-0.320473,0.06433,-0.969717,0.318988,0,0,-19.9119,0,0,-19.4849,0,0,-30.5151,0,0,-30.0881
20688.3,1,0.0630497,1.0052,-0.289458,-0.0629513,-0.964157,0.247444,-0.0644291,0.970764,-0.320994,0.0643492,-0.969943,0.319418,0,0,-19.9385,0,0,-19.4561,0,0,-30.5439,0,0,-30.0615
20692.4,1,0.0630553,1.00525,-0.289556,-0.0629552,-0.964199,0.247519,-0.0644504,0.971013,-0.32147,0.0643664,-0.970145,0.319804,0,0,-19.9597,0,0,-19.5939,0,0,-30.4061,0,0,-30.0403
20696.3,1,0.0630605,1.00531,-0.289671,-0.0629595,-0.964269,0.247645,-0.0644697,0.971239,-0.3219,0.0643816,-0.970324,0.320143,0,0,-19.8501,0,0,-19.6854,0,0,-30.3146,0,0,-30.1499
20700.4,1,0.0630659,1.00541,-0.289838,-0.0629666,-0.964363,0.247813,-0.0644869,0.971441,-0.322284,0.0643948,-0.970478,0.320438,0,0,-19.8649,0,0,-19.6548,0,0,-30.3452,0,0,-30.1351
20704.3,1,0.0630747,1.00552,-0.290045,-0.0629758,-0.964483,0.248028,-0.0645021,0.97162,-0.322624,0.0644059,-0.970609,0.320687,0,0,-20.0708,0,0,-19.6198,0,0,-30.3802,0,0,-29.9292
20708.3,1,0.0630851,1.00566,-0.290288,-0.0629869,-0.964628,0.248288,-0.0645153,0.971774,-0.322918,0.064415,-0.970716,0.320891,0,0,-20.121,0,0,-19.5811,0,0,-30.4189,0,0,-29.879
20712.4,1,0.0630955,1.0058,-0.290531,-0.0629979,-0.964773,0.248549,-0.0645265,0.971905,-0.323167,0.064422,-0.9708,0.321049,0,0,-20.1398,0,0,-19.7443,0,0,-30.2557,0,0,-29.8602
20716.1,1,0.0631042,1.00591,-0.290739,-0.063007,-0.964894,0.248764,-0.0645356,0.972012,-0.323371,0.0644285,-0.970856,0.321158,0,0,-20.0509,0,0,-19.8475,0,0,-30.1525,0,0,-29.9491
20720.1,1,0.0631114,1.00601,-0.290908,-0.0630141,-0.964988,0.248934,-0.0645427,0.972095,-0.323529,0.064431,-0.970893,0.321228,0,0,-20.1161,0,0,-19.771,0,0,-30.229,0,0,-29.8839
20724.2,1,0.0631181,1.00609,-0.291066,-0.0630209,-0.965054,0.249053,-0.0645491,0.972151,-0.323638,0.0644326,-0.970903,0.321248,0,0,-20.2493,0,0,-19.7991,0,0,-30.2009,0,0,-29.7507
20728.2,1,0.0631261,1.0062,-0.291253,-0.0630257,-0.965117,0.249167,-0.0645517,0.972188,-0.323707,0.0644291,-0.970898,0.321235,0,0,-20.2568,0,0,-19.7696,0,0,-30.2304,0,0,-29.7432
