time,leg0_joint0_rad,leg0_joint1_rad,leg0_joint2_rad,leg1_joint0_rad,leg1_joint1_rad,leg1_joint2_rad,leg2_joint0_rad,leg2_joint1_rad,leg2_joint2_rad,leg3_joint0_rad,leg3_joint1_rad,leg3_joint2_rad,
4578.39,0.697147,1.20344,-0.794691,-0.675231,-1.13901,0.718617,-0.747908,1.23421,-0.798398,0.724572,-1.28027,0.782434,
4578.4,0.696333,1.20571,-0.794691,-0.674442,-1.14135,0.718617,-0.747034,1.23644,-0.798398,0.723725,-1.28244,0.782434,
4578.4,0.695519,1.20797,-0.794691,-0.673654,-1.14369,0.718617,-0.746161,1.23866,-0.798398,0.722879,-1.28461,0.782434,
4578.4,0.694709,1.21022,-0.794691,-0.672869,-1.14601,0.718617,-0.745292,1.24088,-0.798398,0.722037,-1.28677,0.782434,
4578.41,0.693895,1.21248,-0.794691,-0.672081,-1.14835,0.718617,-0.744419,1.2431,-0.798398,0.721191,-1.28894,0.782434,
4578.41,0.693073,1.21476,-0.794691,-0.671285,-1.15071,0.718617,-0.743537,1.24535,-0.798398,0.720337,-1.29114,0.782434,
4578.42,0.692259,1.21702,-0.794691,-0.670496,-1.15304,0.718617,-0.742663,1.24758,-0.798398,0.719491,-1.29331,0.782434,
4578.42,0.691443,1.21929,-0.794691,-0.669706,-1.15539,0.718617,-0.741788,1.24981,-0.798398,0.718642,-1.29549,0.782434,
4578.42,0.690632,1.22154,-0.794691,-0.668921,-1.15771,0.718617,-0.740918,1.25202,-0.798398,0.7178,-1.29765,0.782434,
4578.43,0.689818,1.2238,-0.794691,-0.668132,-1.16005,0.718617,-0.740045,1.25425,-0.798398,0.716954,-1.29982,0.782434,
4578.43,0.689004,1.22606,-0.794691,-0.667343,-1.16239,0.718617,-0.739171,1.25647,-0.798398,0.716107,-1.30199,0.782434,
4578.44,0.688189,1.22833,-0.794691,-0.666554,-1.16472,0.718617,-0.738297,1.2587,-0.798398,0.715261,-1.30417,0.782434,
4578.44,0.687375,1.23059,-0.794691,-0.665766,-1.16706,0.718617,-0.737424,1.26093,-0.798398,0.714415,-1.30634,0.782434,
4578.44,0.68656,1.23285,-0.794691,-0.664977,-1.1694,0.718617,-0.73655,1.26315,-0.798398,0.713568,-1.30851,0.782434,
4578.45,0.685746,1.23511,-0.794691,-0.664188,-1.17174,0.718617,-0.735677,1.26538,-0.798398,0.712722,-1.31068,0.782434,
4578.45,0.684932,1.23738,-0.794691,-0.663399,-1.17407,0.718617,-0.734803,1.26761,-0.798398,0.711875,-1.31286,0.782434,
4578.46,0.684113,1.23965,-0.794691,-0.662606,-1.17642,0.718617,-0.733924,1.26984,-0.798398,0.711024,-1.31504,0.782434,
4578.46,0.683303,1.2419,-0.794691,-0.661822,-1.17875,0.718617,-0.733055,1.27206,-0.798398,0.710182,-1.3172,0.782434,
4578.46,0.682488,1.24416,-0.794691,-0.661032,-1.18109,0.718617,-0.732181,1.27429,-0.798398,0.709335,-1.31937,0.782434,
4578.47,0.681671,1.24643,-0.794691,-0.660241,-1.18343,0.718617,-0.731305,1.27652,-0.798398,0.708486,-1.32155,0.782434,
4578.47,0.680858,1.24869,-0.794691,-0.659453,-1.18577,0.718617,-0.730432,1.27874,-0.798398,0.707641,-1.32372,0.782434,
4578.48,0.680045,1.25095,-0.794691,-0.658667,-1.1881,0.718617,-0.72956,1.28096,-0.798398,0.706797,-1.32589,0.782434,
4578.48,0.679231,1.25321,-0.794691,-0.657878,-1.19044,0.718617,-0.728687,1.28319,-0.798398,0.70595,-1.32806,0.782434,
4578.48,0.678416,1.25548,-0.794691,-0.657088,-1.19278,0.718617,-0.727812,1.28542,-0.798398,0.705103,-1.33024,0.782434,
4578.49,0.677608,1.25772,-0.794691,-0.656306,-1.19509,0.718617,-0.726946,1.28763,-0.798398,0.704264,-1.33239,0.782434,
4578.49,0.676786,1.26,-0.794691,-0.655509,-1.19745,0.718617,-0.726064,1.28987,-0.798398,0.703409,-1.33459,0.782434,
4578.5,0.675973,1.26226,-0.794691,-0.654723,-1.19979,0.718617,-0.725192,1.2921,-0.798398,0.702565,-1.33675,0.782434,
4578.5,0.675164,1.26451,-0.794691,-0.653939,-1.20211,0.718617,-0.724324,1.29431,-0.798398,0.701724,-1.33891,0.782434,
4578.5,0.674345,1.26678,-0.794691,-0.653146,-1.20446,0.718617,-0.723445,1.29655,-0.798398,0.700872,-1.3411,0.782434,
4578.51,0.673531,1.26904,-0.794691,-0.652357,-1.2068,0.718617,-0.722572,1.29877,-0.798398,0.700026,-1.34327,0.782434,
4578.51,0.672716,1.27131,-0.794691,-0.651568,-1.20913,0.718617,-0.721698,1.301,-0.798398,0.69918,-1.34544,0.782434,
4578.52,0.671902,1.27357,-0.794691,-0.65078,-1.21147,0.718617,-0.720825,1.30322,-0.798398,0.698333,-1.34761,0.782434,
4578.52,0.671093,1.27582,-0.794691,-0.649995,-1.21379,0.718617,-0.719956,1.30544,-0.798398,0.697492,-1.34977,0.782434,
4578.52,0.670276,1.27809,-0.794691,-0.649205,-1.21614,0.718617,-0.71908,1.30767,-0.798398,0.696643,-1.35195,0.782434,
4578.53,0.669458,1.28036,-0.794691,-0.648412,-1.21849,0.718617,-0.718202,1.30991,-0.798398,0.695793,-1.35413,0.782434,
